Contig,Operon,Start,End,Prediction,Complete_Interference,Complete_Adaptation,Best_type,Best_score,Genes,Positions,E-values,CoverageSeq,CoverageHMM,Strand_Interference,Strand_Adaptation,sampleID,out_type,length,completeness,contamination,Secondary_sample_accession,MAG_source,Study,Oral_site,Age_BP,Country,Continent,Industrialization,sample_host,Sample,primary_cluster,log_age
NODE_523_length_4569_cov_51.1,NODE_523_length_4569_cov_51.1@1,1880,4468,False,20%,0%,I-D,4,['Cas3_1_CAS-I-D'],[3],['1.30e-06'],[0.327],[0.725],-1,,SRS7212804.bin.r.3,putative,1967492,99.2,1.2,SRS7212804,Ancient,Jacobson2020,anc_calculus,3600,Italy,Europe,Ancient,Homo sapiens,SRS7212804-megahit_003,24,
NODE_54_length_16869_cov_49.4,NODE_54_length_16869_cov_49.4@1,11195,15511,False,0%,"",III-A,1,"['Csa3_1_CAS-I-II-III-IV-V-VI', 'AbiEii_0_CAS-III']","[12, 16]","['3.70e-06', '2.10e-05']","[0.56, 0.429]","[0.61, 0.359]",,,SRS7212804.bin.r.3,putative,1967492,99.2,1.2,SRS7212804,Ancient,Jacobson2020,anc_calculus,3600,Italy,Europe,Ancient,Homo sapiens,SRS7212804-megahit_003,24,
NODE_78_length_13611_cov_54.6,NODE_78_length_13611_cov_54.6@1,3864,4298,False,17%,"",III-B,2,['Cmr6gr7_3_CAS-III-B-III-C'],[10],['6.70e-03'],[0.614],[0.352],1,,SRS7212804.bin.r.3,putative,1967492,99.2,1.2,SRS7212804,Ancient,Jacobson2020,anc_calculus,3600,Italy,Europe,Ancient,Homo sapiens,SRS7212804-megahit_003,24,
NODE_251_length_7099_cov_50.5,NODE_251_length_7099_cov_50.5@1,2067,2531,False,0%,0%,I-C,1,['HEAT_CxxC_PDDEXK_0_CAS-I-C'],[4],['2.60e-06'],[0.684],[0.396],,,SRS7212804.bin.r.3,putative,1967492,99.2,1.2,SRS7212804,Ancient,Jacobson2020,anc_calculus,3600,Italy,Europe,Ancient,Homo sapiens,SRS7212804-megahit_003,24,
NODE_28_length_25220_cov_48.4,NODE_28_length_25220_cov_48.4@1,16662,17489,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[19],['9.80e-07'],[0.402],[0.37],,,SRS7212804.bin.r.3,putative,1967492,99.2,1.2,SRS7212804,Ancient,Jacobson2020,anc_calculus,3600,Italy,Europe,Ancient,Homo sapiens,SRS7212804-megahit_003,24,
NODE_44_length_20778_cov_50.0,NODE_44_length_20778_cov_50.0@1,3461,4471,False,0%,"",IV-B,3,['CysH_0_IVB'],[7],['8.70e-05'],[0.436],[0.594],,,SRS7212804.bin.r.3,putative,1967492,99.2,1.2,SRS7212804,Ancient,Jacobson2020,anc_calculus,3600,Italy,Europe,Ancient,Homo sapiens,SRS7212804-megahit_003,24,
NODE_10_length_49670_cov_49.9,NODE_10_length_49670_cov_49.9@1,40114,40917,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[43],['1.50e-04'],[0.496],[0.695],,,SRS7212804.bin.r.3,putative,1967492,99.2,1.2,SRS7212804,Ancient,Jacobson2020,anc_calculus,3600,Italy,Europe,Ancient,Homo sapiens,SRS7212804-megahit_003,24,
NODE_122_length_4625_cov_211.1,NODE_122_length_4625_cov_211.1@1,3786,4571,False,0%,33%,II-A,3,['Csn2_7_CAS-II-A'],[5],['3.90e-06'],[0.683],[0.511],,1,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_464_length_2516_cov_206.4,NODE_464_length_2516_cov_206.4@1,46,1008,False,0%,"",III-B,1,['htpX_0_CAS-III-B'],[1],['9.60e-13'],[0.514],[0.493],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_665_length_2037_cov_222.0,NODE_665_length_2037_cov_222.0@1,1472,1993,False,0%,0%,I-A,0,['CasR_0_CAS-I-II-III-IV-V-VI'],[3],['4.30e-03'],[0.351],[0.313],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_569_length_2257_cov_174.1,NODE_569_length_2257_cov_174.1@1,1417,2121,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[2],['3.30e-07'],[0.468],[0.366],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_635_length_2103_cov_208.5,NODE_635_length_2103_cov_208.5@1,1681,2103,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[4],['6.30e-05'],[0.645],[0.338],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_53_length_6195_cov_333.9,NODE_53_length_6195_cov_333.9@1,667,882,False,0%,"",III-B,1,['CorA_1_CAS-III-B'],[3],['1.70e-03'],[0.736],[0.408],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_807_length_1800_cov_248.6,NODE_807_length_1800_cov_248.6@1,102,1049,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[2],['2.80e-03'],[0.411],[0.454],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_385_length_2787_cov_144.8,NODE_385_length_2787_cov_144.8@1,1467,1943,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[2],['5.80e-08'],[0.428],[0.326],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_50_length_6266_cov_183.2,NODE_50_length_6266_cov_183.2@1,1458,2594,False,0%,"",III-B,1,['TPR_1_CAS-III-B'],[2],['1.00e-05'],[0.528],[0.382],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_1090_length_1485_cov_171.4,NODE_1090_length_1485_cov_171.4@1,93,800,False,0%,"",III-C,1,['Toprim_0_CAS-III-C'],[1],['1.50e-03'],[0.53],[0.445],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_202_length_3860_cov_216.0,NODE_202_length_3860_cov_216.0@1,342,695,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[1],['7.60e-15'],[0.669],[0.746],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_67_length_5820_cov_234.8,NODE_67_length_5820_cov_234.8@1,2304,2900,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['1.40e-06'],[0.367],[0.636],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_625_length_2118_cov_188.8,NODE_625_length_2118_cov_188.8@1,447,776,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['8.70e-22'],[0.773],[0.797],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_226_length_3694_cov_191.9,NODE_226_length_3694_cov_191.9@1,2486,3694,False,0%,33%,I-A,2,['Cas4_0_CAS-I-II-III-IV-V-VI'],[2],['6.00e-08'],[0.424],[0.777],,1,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_93_length_5199_cov_201.1,NODE_93_length_5199_cov_201.1@1,1585,2436,False,0%,"",IV-B,3,['CysH_0_IVB'],[3],['4.50e-04'],[0.324],[0.365],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_1366_length_1294_cov_109.0,NODE_1366_length_1294_cov_109.0@1,271,1293,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[1],['3.70e-07'],[0.323],[0.7],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_637_length_2102_cov_110.2,NODE_637_length_2102_cov_110.2@1,14,1665,False,14%,33%,I-A,4,"['Cas4_5_CAS-I-II-III-IV-V-VI', 'Cas3_1_CAS-I']","[1, 2]","['5.90e-24', '2.10e-42']","[0.892, 0.831]","[0.528, 0.493]",-1,-1,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_241_length_3573_cov_195.2,NODE_241_length_3573_cov_195.2@1,653,1120,False,0%,0%,I-C,1,['HEAT_CxxC_PDDEXK_0_CAS-I-C'],[2],['3.80e-06'],[0.538],[0.316],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_735_length_1911_cov_187.5,NODE_735_length_1911_cov_187.5@1,130,975,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[2],['1.80e-09'],[0.518],[0.496],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_7_length_10960_cov_230.1,NODE_7_length_10960_cov_230.1@1,10096,10896,False,0%,33%,I-A,2,['Cas4_3_CAS-I-II-III-IV-V-VI'],[18],['1.40e-25'],[0.981],[0.914],,-1,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_68_length_5787_cov_179.2,NODE_68_length_5787_cov_179.2@1,2,772,False,0%,33%,I-A,2,['Cas4_0_CAS-I-II-III-IV-V-VI'],[1],['3.90e-19'],[0.755],[0.994],,1,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_416_length_2680_cov_213.2,NODE_416_length_2680_cov_213.2@1,38,2638,False,14%,0%,I-A,1,['Cas3_0_I'],[1],['3.30e-17'],[0.392],[0.922],1,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_344_length_2971_cov_208.0,NODE_344_length_2971_cov_208.0@1,1,750,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[1],['2.50e-06'],[0.484],[0.401],,,SRS7890498.bin.r.1,putative,1190662,82.16,2.4,SRS7890498,Ancient,Weyrich2017,anc_calculus,49000,Spain,Europe,Ancient,Homo sapiens neanderthalensis,SRS7890498-megahit_001,22,
NODE_1826_length_1217_cov_18.7,NODE_1826_length_1217_cov_18.7@1,125,1216,False,0%,"",III-A,1,['RT_0_CAS-III-AM-III-B'],[1],['1.40e-42'],[0.522],[0.641],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1511_length_1364_cov_13.9,NODE_1511_length_1364_cov_13.9@1,2,703,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[1],['8.30e-07'],[0.38],[0.303],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1060_length_1720_cov_11.0,NODE_1060_length_1720_cov_11.0@1,39,464,False,17%,"",III-B,4,['Cmr5gr11_7_CAS-III-B'],[1],['7.60e-03'],[0.563],[0.5],-1,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1484_length_1385_cov_11.5,NODE_1484_length_1385_cov_11.5@1,95,1264,False,0%,"",III-A,1,['TPR_0_CAS-III-A'],[1],['3.90e-108'],[0.992],[0.917],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_683_length_2298_cov_9.5,NODE_683_length_2298_cov_9.5@1,229,1185,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[2],['2.10e-04'],[0.404],[0.444],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_943_length_1867_cov_10.7,NODE_943_length_1867_cov_10.7@1,1308,1865,False,0%,"",IV-B,3,['CysH_0_IVB'],[3],['2.90e-05'],[0.597],[0.45],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_720_length_2232_cov_9.8,NODE_720_length_2232_cov_9.8@1,663,1960,False,0%,67%,I-A,4,"['Cas1_8_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI']","[2, 3]","['1.70e-78', '7.00e-20']","[0.844, 0.771]","[0.993, 0.831]",,-1,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1720_length_1268_cov_7.2,NODE_1720_length_1268_cov_7.2@1,346,1119,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[2],['3.00e-05'],[0.446],[0.419],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1333_length_1476_cov_12.0,NODE_1333_length_1476_cov_12.0@1,564,1028,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[2],['1.90e-05'],[0.684],[0.477],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_2299_length_1076_cov_8.8,NODE_2299_length_1076_cov_8.8@1,73,1074,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[1],['1.50e-06'],[0.35],[0.838],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_936_length_1877_cov_12.3,NODE_936_length_1877_cov_12.3@1,597,1817,False,0%,33%,I-A,1,['Cas4_0_I-II'],[2],['3.80e-06'],[0.31],[0.7],,1,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1905_length_1189_cov_9.4,NODE_1905_length_1189_cov_9.4@1,623,925,False,0%,33%,I-A,1,['Cas4_0_I-II'],[2],['2.90e-03'],[0.624],[0.361],,-1,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_595_length_2497_cov_10.5,NODE_595_length_2497_cov_10.5@1,1,372,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[1],['3.40e-19'],[0.637],[0.729],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1573_length_1334_cov_11.7,NODE_1573_length_1334_cov_11.7@1,2,844,False,0%,33%,I-A,1,['Cas4_0_I-II'],[1],['6.30e-22'],[0.665],[0.989],,1,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_378_length_3270_cov_14.5,NODE_378_length_3270_cov_14.5@1,290,1315,False,14%,0%,I-A,4,['Csa5gr11_10_CAS-I-A'],[2],['9.00e-03'],[0.336],[0.651],-1,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1618_length_1315_cov_9.7,NODE_1618_length_1315_cov_9.7@1,2,1303,False,20%,"",III-A,2,['Cas10_1_CAS-III'],[1],['2.80e-64'],[0.846],[0.52],1,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_536_length_2679_cov_13.8,NODE_536_length_2679_cov_13.8@1,1,693,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[1],['6.60e-05'],[0.498],[0.377],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1890_length_1195_cov_10.2,NODE_1890_length_1195_cov_10.2@1,114,485,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['4.50e-07'],[0.597],[0.644],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1565_length_1337_cov_14.3,NODE_1565_length_1337_cov_14.3@1,235,1179,False,0%,"",III-A,1,['RT_0_CAS-III-AM-III-B'],[1],['6.00e-31'],[0.425],[0.463],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_2131_length_1117_cov_12.5,NODE_2131_length_1117_cov_12.5@1,554,988,False,17%,"",III-B,2,['Cmr6gr7_3_CAS-III-B-III-C'],[3],['5.60e-03'],[0.614],[0.352],1,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1552_length_1341_cov_11.2,NODE_1552_length_1341_cov_11.2@1,990,1340,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[3],['1.90e-04'],[0.504],[0.559],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_200_length_4689_cov_12.1,NODE_200_length_4689_cov_12.1@1,2,1894,False,20%,"",IV-A1,2,['Csf4_0_IVA'],[1],['2.80e-14'],[0.531],[0.548],1,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_830_length_2037_cov_11.7,NODE_830_length_2037_cov_11.7@1,2,2036,False,20%,"",III-A,3,"['Csm5gr7_1_CAS-III-A-III-D', 'Csx1_9_CAS-III']","[1, 2]","['1.50e-41', '2.30e-39']","[0.94, 0.957]","[0.995, 0.661]",1,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1168_length_1613_cov_12.5,NODE_1168_length_1613_cov_12.5@1,151,1611,False,0%,33%,I-A,1,['Cas4_0_I-II'],[2],['8.50e-10'],[0.368],[0.861],,-1,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1852_length_1210_cov_10.5,NODE_1852_length_1210_cov_10.5@1,209,610,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[1],['2.70e-06'],[0.56],[0.61],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1702_length_1280_cov_9.6,NODE_1702_length_1280_cov_9.6@1,357,617,False,0%,0%,I-A,0,['CasR_0_CAS-I-II-III-IV-V-VI'],[2],['1.00e-05'],[0.759],[0.323],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1001_length_1781_cov_10.8,NODE_1001_length_1781_cov_10.8@1,1054,1599,False,17%,"",III-D,3,['Csx19_5_CAS-III-D'],[3],['1.40e-03'],[0.308],[0.348],1,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1115_length_1665_cov_13.9,NODE_1115_length_1665_cov_13.9@1,1,1507,False,0%,"",III-A,1,"['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III']","[1, 2]","['1.40e-03', '2.10e-06']","[0.427, 0.494]","[0.377, 0.384]",,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_567_length_2564_cov_12.4,NODE_567_length_2564_cov_12.4@1,952,1878,False,0%,"",IV-B,3,['CysH_0_IVB'],[3],['5.60e-05'],[0.498],[0.61],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1010_length_1772_cov_12.0,NODE_1010_length_1772_cov_12.0@1,770,1477,False,0%,33%,I-A,1,['Cas4_0_I-II'],[2],['4.80e-17'],[0.771],[0.978],,-1,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_580_length_2542_cov_12.4,NODE_580_length_2542_cov_12.4@1,2039,2542,False,20%,"",III-A,4,['Csm2gr11_5_CAS-III-A'],[4],['5.40e-03'],[0.357],[0.475],-1,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_1313_length_1490_cov_9.2,NODE_1313_length_1490_cov_9.2@1,721,1488,False,20%,"",III-A,2,['Cas10_1_CAS-III'],[2],['6.70e-60'],[0.965],[0.385],1,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_978_length_1817_cov_11.4,NODE_978_length_1817_cov_11.4@1,320,1081,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[2],['1.50e-05'],[0.429],[0.359],,,SRS7967575.bin.r.2,putative,1108721,58.07,0,SRS7967575,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967575-megahit_002,24,
NODE_690_length_2505_cov_18.9,NODE_690_length_2505_cov_18.9@1,194,2383,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[1],['6.60e-23'],[0.414],[0.904],-1,,SRS7967576.bin.r.5,putative,1739210,85.02,0.8,SRS7967576,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967576-megahit_005,24,
NODE_61_length_5690_cov_16.0,NODE_61_length_5690_cov_16.0@1,553,2112,False,20%,"",IV-A1,2,['Csf4_0_IVA'],[2],['5.90e-11'],[0.465],[0.404],-1,,SRS7967576.bin.r.5,putative,1739210,85.02,0.8,SRS7967576,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967576-megahit_005,24,
NODE_493_length_2928_cov_14.3,NODE_493_length_2928_cov_14.3@1,1029,2021,False,0%,0%,I-A,0,['CasR_0_CAS-I-II-III-IV-V-VI'],[2],['5.80e-03'],[0.314],[0.515],,,SRS7967576.bin.r.5,putative,1739210,85.02,0.8,SRS7967576,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967576-megahit_005,24,
NODE_244_length_3890_cov_23.1,NODE_244_length_3890_cov_23.1@1,849,2117,False,0%,"",III-A,1,['RT_0_CAS-III-AM-III-B'],[2],['8.10e-56'],[0.638],[0.906],,,SRS7967576.bin.r.5,putative,1739210,85.02,0.8,SRS7967576,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967576-megahit_005,24,
NODE_2214_length_1418_cov_19.8,NODE_2214_length_1418_cov_19.8@1,821,1417,False,0%,"",IV-B,3,['CysH_0_IVB'],[2],['3.70e-05'],[0.804],[0.667],,,SRS7967576.bin.r.5,putative,1739210,85.02,0.8,SRS7967576,Ancient,Farrer2021,anc_calculus,800,United Kingdom,Europe,Ancient,Homo sapiens,SRS7967576-megahit_005,24,
